"Catalogue.Number","Material","Module","Teeth.Count","Pitch.Diameter..mm.","Bore Diameter (mm)","Face.Width..cm.","Tooth.Finish","Heat.Treatment","Lewis.Form.Factor","set screw","keyway"
"SSA1-20J8","S45C",1,20,20,"8",1,"Standard","None",0.32,0,1
"SSA1-24J10","S45C",1,24,24,"10",1,"Standard","None",0.337,0,1
"SSA1-24J8","S45C",1,24,24,"8",1,"Standard","None",0.337,0,1
"SSA1-25J10","S45C",1,25,25,"10",1,"Standard","None",0.337,0,1
"SSA1-25J8","S45C",1,25,25,"8",1,"Standard","None",0.337,0,1
"SSA1-28J10","S45C",1,28,28,"10",1,"Standard","None",0.352,0,1
"SSA1-28J12","S45C",1,28,28,"12",1,"Standard","None",0.352,0,1
"SSA1-28J8","S45C",1,28,28,"8",1,"Standard","None",0.352,0,1
"SSA1-30J10","S45C",1,30,30,"10",1,"Standard","None",0.358,0,1
"SSA1-30J12","S45C",1,30,30,"12",1,"Standard","None",0.358,0,1
"SSA1-30J8","S45C",1,30,30,"8",1,"Standard","None",0.358,0,1
"SSA1-32J10","S45C",1,32,32,"10",1,"Standard","None",0.364,0,1
"SSA1-32J12","S45C",1,32,32,"12",1,"Standard","None",0.364,0,1
"SSA1-32J14","S45C",1,32,32,"14",1,"Standard","None",0.364,0,1
"SSA1-32J8","S45C",1,32,32,"8",1,"Standard","None",0.364,0,1
"SSA1-35J10","S45C",1,35,35,"10",1,"Standard","None",0.37,0,1
"SSA1-35J12","S45C",1,35,35,"12",1,"Standard","None",0.37,0,1
"SSA1-35J14","S45C",1,35,35,"14",1,"Standard","None",0.37,0,1
"SSA1-35J15","S45C",1,35,35,"15",1,"Standard","None",0.37,0,1
"SSA1-35J16","S45C",1,35,35,"16",1,"Standard","None",0.37,0,1
"SSA1-35J8","S45C",1,35,35,"8",1,"Standard","None",0.37,0,1
"SSA1-36J10","S45C",1,36,36,"10",1,"Standard","None",0.377,0,1
"SSA1-36J12","S45C",1,36,36,"12",1,"Standard","None",0.377,0,1
"SSA1-36J14","S45C",1,36,36,"14",1,"Standard","None",0.377,0,1
"SSA1-36J15","S45C",1,36,36,"15",1,"Standard","None",0.377,0,1
"SSA1-36J16","S45C",1,36,36,"16",1,"Standard","None",0.377,0,1
"SSA1-36J8","S45C",1,36,36,"8",1,"Standard","None",0.377,0,1
"SSA1-40J10","S45C",1,40,40,"10",1,"Standard","None",0.389,0,1
"SSA1-40J12","S45C",1,40,40,"12",1,"Standard","None",0.389,0,1
"SSA1-40J14","S45C",1,40,40,"14",1,"Standard","None",0.389,0,1
"SSA1-40J15","S45C",1,40,40,"15",1,"Standard","None",0.389,0,1
"SSA1-40J16","S45C",1,40,40,"16",1,"Standard","None",0.389,0,1
"SSA1-40J17","S45C",1,40,40,"17",1,"Standard","None",0.389,0,1
"SSA1-40J18","S45C",1,40,40,"18",1,"Standard","None",0.389,0,1
"SSA1-40J8","S45C",1,40,40,"8",1,"Standard","None",0.389,0,1
"SSA1-45J10","S45C",1,45,45,"10",1,"Standard","None",0.399,0,1
"SSA1-45J12","S45C",1,45,45,"12",1,"Standard","None",0.399,0,1
"SSA1-45J14","S45C",1,45,45,"14",1,"Standard","None",0.399,0,1
"SSA1-45J15","S45C",1,45,45,"15",1,"Standard","None",0.399,0,1
"SSA1-45J16","S45C",1,45,45,"16",1,"Standard","None",0.399,0,1
"SSA1-45J17","S45C",1,45,45,"17",1,"Standard","None",0.399,0,1
"SSA1-45J18","S45C",1,45,45,"18",1,"Standard","None",0.399,0,1
"SSA1-45J19","S45C",1,45,45,"19",1,"Standard","None",0.399,0,1
"SSA1-45J20","S45C",1,45,45,"20",1,"Standard","None",0.399,0,1
"SSA1-45J8","S45C",1,45,45,"8",1,"Standard","None",0.399,0,1
"SSA1-48J10","S45C",1,48,48,"10",1,"Standard","None",0.399,0,1
"SSA1-48J12","S45C",1,48,48,"12",1,"Standard","None",0.399,0,1
"SSA1-48J14","S45C",1,48,48,"14",1,"Standard","None",0.399,0,1
"SSA1-48J15","S45C",1,48,48,"15",1,"Standard","None",0.399,0,1
"SSA1-48J16","S45C",1,48,48,"16",1,"Standard","None",0.399,0,1
"SSA1-48J17","S45C",1,48,48,"17",1,"Standard","None",0.399,0,1
"SSA1-48J18","S45C",1,48,48,"18",1,"Standard","None",0.399,0,1
"SSA1-48J19","S45C",1,48,48,"19",1,"Standard","None",0.399,0,1
"SSA1-48J20","S45C",1,48,48,"20",1,"Standard","None",0.399,0,1
"SSA1-48J22","S45C",1,48,48,"22",1,"Standard","None",0.399,0,1
"SSA1-48J8","S45C",1,48,48,"8",1,"Standard","None",0.399,0,1
"SSA1-50J10","S45C",1,50,50,"10",1,"Standard","None",0.408,0,1
"SSA1-50J12","S45C",1,50,50,"12",1,"Standard","None",0.408,0,1
"SSA1-50J14","S45C",1,50,50,"14",1,"Standard","None",0.408,0,1
"SSA1-50J15","S45C",1,50,50,"15",1,"Standard","None",0.408,0,1
"SSA1-50J16","S45C",1,50,50,"16",1,"Standard","None",0.408,0,1
"SSA1-50J17","S45C",1,50,50,"17",1,"Standard","None",0.408,0,1
"SSA1-50J18","S45C",1,50,50,"18",1,"Standard","None",0.408,0,1
"SSA1-50J19","S45C",1,50,50,"19",1,"Standard","None",0.408,0,1
"SSA1-50J20","S45C",1,50,50,"20",1,"Standard","None",0.408,0,1
"SSA1-50J22","S45C",1,50,50,"22",1,"Standard","None",0.408,0,1
"SSA1-55J10","S45C",1,55,55,"10",1,"Standard","None",0.415,0,1
"SSA1-55J12","S45C",1,55,55,"12",1,"Standard","None",0.415,0,1
"SSA1-55J14","S45C",1,55,55,"14",1,"Standard","None",0.415,0,1
"SSA1-55J15","S45C",1,55,55,"15",1,"Standard","None",0.415,0,1
"SSA1-55J16","S45C",1,55,55,"16",1,"Standard","None",0.415,0,1
"SSA1-55J17","S45C",1,55,55,"17",1,"Standard","None",0.415,0,1
"SSA1-55J18","S45C",1,55,55,"18",1,"Standard","None",0.415,0,1
"SSA1-55J19","S45C",1,55,55,"19",1,"Standard","None",0.415,0,1
"SSA1-55J20","S45C",1,55,55,"20",1,"Standard","None",0.415,0,1
"SSA1-55J22","S45C",1,55,55,"22",1,"Standard","None",0.415,0,1
"SSA1-55J25","S45C",1,55,55,"25",1,"Standard","None",0.415,0,1
"SSA1-56J10","S45C",1,56,56,"10",1,"Standard","None",0.415,0,1
"SSA1-56J12","S45C",1,56,56,"12",1,"Standard","None",0.415,0,1
"SSA1-56J14","S45C",1,56,56,"14",1,"Standard","None",0.415,0,1
"SSA1-56J15","S45C",1,56,56,"15",1,"Standard","None",0.415,0,1
"SSA1-56J16","S45C",1,56,56,"16",1,"Standard","None",0.415,0,1
"SSA1-56J17","S45C",1,56,56,"17",1,"Standard","None",0.415,0,1
"SSA1-56J18","S45C",1,56,56,"18",1,"Standard","None",0.415,0,1
"SSA1-56J19","S45C",1,56,56,"19",1,"Standard","None",0.415,0,1
"SSA1-56J20","S45C",1,56,56,"20",1,"Standard","None",0.415,0,1
"SSA1-56J22","S45C",1,56,56,"22",1,"Standard","None",0.415,0,1
"SSA1-56J25","S45C",1,56,56,"25",1,"Standard","None",0.415,0,1
"SSA1-60J10","S45C",1,60,60,"10",1,"Standard","None",0.421,0,1
"SSA1-60J12","S45C",1,60,60,"12",1,"Standard","None",0.421,0,1
"SSA1-60J14","S45C",1,60,60,"14",1,"Standard","None",0.421,0,1
"SSA1-60J15","S45C",1,60,60,"15",1,"Standard","None",0.421,0,1
"SSA1-60J16","S45C",1,60,60,"16",1,"Standard","None",0.421,0,1
"SSA1-60J17","S45C",1,60,60,"17",1,"Standard","None",0.421,0,1
"SSA1-60J18","S45C",1,60,60,"18",1,"Standard","None",0.421,0,1
"SSA1-60J19","S45C",1,60,60,"19",1,"Standard","None",0.421,0,1
"SSA1-60J20","S45C",1,60,60,"20",1,"Standard","None",0.421,0,1
"SSA1-60J22","S45C",1,60,60,"22",1,"Standard","None",0.421,0,1
"SSA1-60J25","S45C",1,60,60,"25",1,"Standard","None",0.421,0,1
"SSA1-60J28","S45C",1,60,60,"28",1,"Standard","None",0.421,0,1
"SSA1-70J10","S45C",1,70,70,"10",1,"Standard","None",0.429,0,1
"SSA1-70J12","S45C",1,70,70,"12",1,"Standard","None",0.429,0,1
"SSA1-70J14","S45C",1,70,70,"14",1,"Standard","None",0.429,0,1
"SSA1-70J15","S45C",1,70,70,"15",1,"Standard","None",0.429,0,1
"SSA1-70J16","S45C",1,70,70,"16",1,"Standard","None",0.429,0,1
"SSA1-70J17","S45C",1,70,70,"17",1,"Standard","None",0.429,0,1
"SSA1-70J18","S45C",1,70,70,"18",1,"Standard","None",0.429,0,1
"SSA1-70J19","S45C",1,70,70,"19",1,"Standard","None",0.429,0,1
"SSA1-70J20","S45C",1,70,70,"20",1,"Standard","None",0.429,0,1
"SSA1-70J22","S45C",1,70,70,"22",1,"Standard","None",0.429,0,1
"SSA1-70J25","S45C",1,70,70,"25",1,"Standard","None",0.429,0,1
"SSA1-70J28","S45C",1,70,70,"28",1,"Standard","None",0.429,0,1
"SSA1-70J30","S45C",1,70,70,"30",1,"Standard","None",0.429,0,1
"SSA1-70J32","S45C",1,70,70,"32",1,"Standard","None",0.429,0,1
"SSA1.5-20J10","S45C",1.5,20,30,"10",1.5,"Standard","None",0.32,0,1
"SSA1.5-20J12","S45C",1.5,20,30,"12",1.5,"Standard","None",0.32,0,1
"SSA1.5-24J10","S45C",1.5,24,36,"10",1.5,"Standard","None",0.337,0,1
"SSA1.5-24J12","S45C",1.5,24,36,"12",1.5,"Standard","None",0.337,0,1
"SSA1.5-24J14","S45C",1.5,24,36,"14",1.5,"Standard","None",0.337,0,1
"SSA1.5-24J15","S45C",1.5,24,36,"15",1.5,"Standard","None",0.337,0,1
"SSA1.5-24J16","S45C",1.5,24,36,"16",1.5,"Standard","None",0.337,0,1
"SSA1.5-25J10","S45C",1.5,25,37.5,"10",1.5,"Standard","None",0.337,0,1
"SSA1.5-25J12","S45C",1.5,25,37.5,"12",1.5,"Standard","None",0.337,0,1
"SSA1.5-25J14","S45C",1.5,25,37.5,"14",1.5,"Standard","None",0.337,0,1
"SSA1.5-25J15","S45C",1.5,25,37.5,"15",1.5,"Standard","None",0.337,0,1
"SSA1.5-25J16","S45C",1.5,25,37.5,"16",1.5,"Standard","None",0.337,0,1
"SSA1.5-28J10","S45C",1.5,28,42,"10",1.5,"Standard","None",0.352,0,1
"SSA1.5-28J12","S45C",1.5,28,42,"12",1.5,"Standard","None",0.352,0,1
"SSA1.5-28J14","S45C",1.5,28,42,"14",1.5,"Standard","None",0.352,0,1
"SSA1.5-28J15","S45C",1.5,28,42,"15",1.5,"Standard","None",0.352,0,1
"SSA1.5-28J16","S45C",1.5,28,42,"16",1.5,"Standard","None",0.352,0,1
"SSA1.5-28J17","S45C",1.5,28,42,"17",1.5,"Standard","None",0.352,0,1
"SSA1.5-28J18","S45C",1.5,28,42,"18",1.5,"Standard","None",0.352,0,1
"SSA1.5-28J19","S45C",1.5,28,42,"19",1.5,"Standard","None",0.352,0,1
"SSA1.5-30J10","S45C",1.5,30,45,"10",1.5,"Standard","None",0.358,0,1
"SSA1.5-30J12","S45C",1.5,30,45,"12",1.5,"Standard","None",0.358,0,1
"SSA1.5-30J14","S45C",1.5,30,45,"14",1.5,"Standard","None",0.358,0,1
"SSA1.5-30J15","S45C",1.5,30,45,"15",1.5,"Standard","None",0.358,0,1
"SSA1.5-30J16","S45C",1.5,30,45,"16",1.5,"Standard","None",0.358,0,1
"SSA1.5-30J17","S45C",1.5,30,45,"17",1.5,"Standard","None",0.358,0,1
"SSA1.5-30J18","S45C",1.5,30,45,"18",1.5,"Standard","None",0.358,0,1
"SSA1.5-30J19","S45C",1.5,30,45,"19",1.5,"Standard","None",0.358,0,1
"SSA1.5-30J20","S45C",1.5,30,45,"20",1.5,"Standard","None",0.358,0,1
"SSA1.5-32J10","S45C",1.5,32,48,"10",1.5,"Standard","None",0.364,0,1
"SSA1.5-32J12","S45C",1.5,32,48,"12",1.5,"Standard","None",0.364,0,1
"SSA1.5-32J14","S45C",1.5,32,48,"14",1.5,"Standard","None",0.364,0,1
"SSA1.5-32J15","S45C",1.5,32,48,"15",1.5,"Standard","None",0.364,0,1
"SSA1.5-32J16","S45C",1.5,32,48,"16",1.5,"Standard","None",0.364,0,1
"SSA1.5-32J17","S45C",1.5,32,48,"17",1.5,"Standard","None",0.364,0,1
"SSA1.5-32J18","S45C",1.5,32,48,"18",1.5,"Standard","None",0.364,0,1
"SSA1.5-32J19","S45C",1.5,32,48,"19",1.5,"Standard","None",0.364,0,1
"SSA1.5-32J20","S45C",1.5,32,48,"20",1.5,"Standard","None",0.364,0,1
"SSA1.5-32J22","S45C",1.5,32,48,"22",1.5,"Standard","None",0.364,0,1
"SSA1.5-35J10","S45C",1.5,35,52.5,"10",1.5,"Standard","None",0.37,0,1
"SSA1.5-35J12","S45C",1.5,35,52.5,"12",1.5,"Standard","None",0.37,0,1
"SSA1.5-35J14","S45C",1.5,35,52.5,"14",1.5,"Standard","None",0.37,0,1
"SSA1.5-35J15","S45C",1.5,35,52.5,"15",1.5,"Standard","None",0.37,0,1
"SSA1.5-35J16","S45C",1.5,35,52.5,"16",1.5,"Standard","None",0.37,0,1
"SSA1.5-35J17","S45C",1.5,35,52.5,"17",1.5,"Standard","None",0.37,0,1
"SSA1.5-35J18","S45C",1.5,35,52.5,"18",1.5,"Standard","None",0.37,0,1
"SSA1.5-35J19","S45C",1.5,35,52.5,"19",1.5,"Standard","None",0.37,0,1
"SSA1.5-35J20","S45C",1.5,35,52.5,"20",1.5,"Standard","None",0.37,0,1
"SSA1.5-35J22","S45C",1.5,35,52.5,"22",1.5,"Standard","None",0.37,0,1
"SSA1.5-36J10","S45C",1.5,36,54,"10",1.5,"Standard","None",0.377,0,1
"SSA1.5-36J12","S45C",1.5,36,54,"12",1.5,"Standard","None",0.377,0,1
"SSA1.5-36J14","S45C",1.5,36,54,"14",1.5,"Standard","None",0.377,0,1
"SSA1.5-36J15","S45C",1.5,36,54,"15",1.5,"Standard","None",0.377,0,1
"SSA1.5-36J16","S45C",1.5,36,54,"16",1.5,"Standard","None",0.377,0,1
"SSA1.5-36J17","S45C",1.5,36,54,"17",1.5,"Standard","None",0.377,0,1
"SSA1.5-36J18","S45C",1.5,36,54,"18",1.5,"Standard","None",0.377,0,1
"SSA1.5-36J19","S45C",1.5,36,54,"19",1.5,"Standard","None",0.377,0,1
"SSA1.5-36J20","S45C",1.5,36,54,"20",1.5,"Standard","None",0.377,0,1
"SSA1.5-36J22","S45C",1.5,36,54,"22",1.5,"Standard","None",0.377,0,1
"SSA1.5-36J25","S45C",1.5,36,54,"25",1.5,"Standard","None",0.377,0,1
"SSA1.5-40J15","S45C",1.5,40,60,"15",1.5,"Standard","None",0.389,0,1
"SSA1.5-40J16","S45C",1.5,40,60,"16",1.5,"Standard","None",0.389,0,1
"SSA1.5-40J17","S45C",1.5,40,60,"17",1.5,"Standard","None",0.389,0,1
"SSA1.5-40J18","S45C",1.5,40,60,"18",1.5,"Standard","None",0.389,0,1
"SSA1.5-40J19","S45C",1.5,40,60,"19",1.5,"Standard","None",0.389,0,1
"SSA1.5-40J20","S45C",1.5,40,60,"20",1.5,"Standard","None",0.389,0,1
"SSA1.5-40J22","S45C",1.5,40,60,"22",1.5,"Standard","None",0.389,0,1
"SSA1.5-40J25","S45C",1.5,40,60,"25",1.5,"Standard","None",0.389,0,1
"SSA1.5-40J28","S45C",1.5,40,60,"28",1.5,"Standard","None",0.389,0,1
"SSA1.5-45J15","S45C",1.5,45,67.5,"15",1.5,"Standard","None",0.399,0,1
"SSA1.5-45J16","S45C",1.5,45,67.5,"16",1.5,"Standard","None",0.399,0,1
"SSA1.5-45J17","S45C",1.5,45,67.5,"17",1.5,"Standard","None",0.399,0,1
"SSA1.5-45J18","S45C",1.5,45,67.5,"18",1.5,"Standard","None",0.399,0,1
"SSA1.5-45J19","S45C",1.5,45,67.5,"19",1.5,"Standard","None",0.399,0,1
"SSA1.5-45J20","S45C",1.5,45,67.5,"20",1.5,"Standard","None",0.399,0,1
"SSA1.5-45J22","S45C",1.5,45,67.5,"22",1.5,"Standard","None",0.399,0,1
"SSA1.5-45J25","S45C",1.5,45,67.5,"25",1.5,"Standard","None",0.399,0,1
"SSA1.5-45J28","S45C",1.5,45,67.5,"28",1.5,"Standard","None",0.399,0,1
"SSA1.5-45J30","S45C",1.5,45,67.5,"30",1.5,"Standard","None",0.399,0,1
"SSA1.5-48J15","S45C",1.5,48,72,"15",1.5,"Standard","None",0.399,0,1
"SSA1.5-48J16","S45C",1.5,48,72,"16",1.5,"Standard","None",0.399,0,1
"SSA1.5-48J17","S45C",1.5,48,72,"17",1.5,"Standard","None",0.399,0,1
"SSA1.5-48J18","S45C",1.5,48,72,"18",1.5,"Standard","None",0.399,0,1
"SSA1.5-48J19","S45C",1.5,48,72,"19",1.5,"Standard","None",0.399,0,1
"SSA1.5-48J20","S45C",1.5,48,72,"20",1.5,"Standard","None",0.399,0,1
"SSA1.5-48J22","S45C",1.5,48,72,"22",1.5,"Standard","None",0.399,0,1
"SSA1.5-48J25","S45C",1.5,48,72,"25",1.5,"Standard","None",0.399,0,1
"SSA1.5-48J28","S45C",1.5,48,72,"28",1.5,"Standard","None",0.399,0,1
"SSA1.5-48J30","S45C",1.5,48,72,"30",1.5,"Standard","None",0.399,0,1
"SSA1.5-48J32","S45C",1.5,48,72,"32",1.5,"Standard","None",0.399,0,1
"SSA1.5-50J15","S45C",1.5,50,75,"15",1.5,"Standard","None",0.408,0,1
"SSA1.5-50J16","S45C",1.5,50,75,"16",1.5,"Standard","None",0.408,0,1
"SSA1.5-50J17","S45C",1.5,50,75,"17",1.5,"Standard","None",0.408,0,1
"SSA1.5-50J18","S45C",1.5,50,75,"18",1.5,"Standard","None",0.408,0,1
"SSA1.5-50J19","S45C",1.5,50,75,"19",1.5,"Standard","None",0.408,0,1
"SSA1.5-50J20","S45C",1.5,50,75,"20",1.5,"Standard","None",0.408,0,1
"SSA1.5-50J22","S45C",1.5,50,75,"22",1.5,"Standard","None",0.408,0,1
"SSA1.5-50J25","S45C",1.5,50,75,"25",1.5,"Standard","None",0.408,0,1
"SSA1.5-50J28","S45C",1.5,50,75,"28",1.5,"Standard","None",0.408,0,1
"SSA1.5-50J30","S45C",1.5,50,75,"30",1.5,"Standard","None",0.408,0,1
"SSA1.5-50J32","S45C",1.5,50,75,"32",1.5,"Standard","None",0.408,0,1
"SSA1.5-50J35","S45C",1.5,50,75,"35",1.5,"Standard","None",0.408,0,1
"SSA1.5-55J15","S45C",1.5,55,82.5,"15",1.5,"Standard","None",0.415,0,1
"SSA1.5-55J16","S45C",1.5,55,82.5,"16",1.5,"Standard","None",0.415,0,1
"SSA1.5-55J17","S45C",1.5,55,82.5,"17",1.5,"Standard","None",0.415,0,1
"SSA1.5-55J18","S45C",1.5,55,82.5,"18",1.5,"Standard","None",0.415,0,1
"SSA1.5-55J19","S45C",1.5,55,82.5,"19",1.5,"Standard","None",0.415,0,1
"SSA1.5-55J20","S45C",1.5,55,82.5,"20",1.5,"Standard","None",0.415,0,1
"SSA1.5-55J22","S45C",1.5,55,82.5,"22",1.5,"Standard","None",0.415,0,1
"SSA1.5-55J25","S45C",1.5,55,82.5,"25",1.5,"Standard","None",0.415,0,1
"SSA1.5-55J28","S45C",1.5,55,82.5,"28",1.5,"Standard","None",0.415,0,1
"SSA1.5-55J30","S45C",1.5,55,82.5,"30",1.5,"Standard","None",0.415,0,1
"SSA1.5-55J32","S45C",1.5,55,82.5,"32",1.5,"Standard","None",0.415,0,1
"SSA1.5-55J35","S45C",1.5,55,82.5,"35",1.5,"Standard","None",0.415,0,1
"SSA1.5-56J15","S45C",1.5,56,84,"15",1.5,"Standard","None",0.415,0,1
"SSA1.5-56J16","S45C",1.5,56,84,"16",1.5,"Standard","None",0.415,0,1
"SSA1.5-56J17","S45C",1.5,56,84,"17",1.5,"Standard","None",0.415,0,1
"SSA1.5-56J18","S45C",1.5,56,84,"18",1.5,"Standard","None",0.415,0,1
"SSA1.5-56J19","S45C",1.5,56,84,"19",1.5,"Standard","None",0.415,0,1
"SSA1.5-56J20","S45C",1.5,56,84,"20",1.5,"Standard","None",0.415,0,1
"SSA1.5-56J22","S45C",1.5,56,84,"22",1.5,"Standard","None",0.415,0,1
"SSA1.5-56J25","S45C",1.5,56,84,"25",1.5,"Standard","None",0.415,0,1
"SSA1.5-56J28","S45C",1.5,56,84,"28",1.5,"Standard","None",0.415,0,1
"SSA1.5-56J30","S45C",1.5,56,84,"30",1.5,"Standard","None",0.415,0,1
